open;high;low;close;volume
165.5;166.25;163.85;165.64;1181901
166.22;167.08;165.47;165.49;1599539
167.1;167.1;163.73;164.83;1168987
164.48;165.42;163.95;165.2;897538
163.91;165.86;163.84;165.4;831406
164.1;165.19;160.82;160.85;1487474
160.2;164.07;160.06;163.26;1325363
161.63;161.98;159.285;160.35;1318193
160.06;160.66;159.05;159.45;1030267
159.0;160.709;158.5239;160.07;1403777
159.33;160.07;158.2;158.89;2534399
160.07;162.23;159.55;161.26;1814447
161.75;164.13;161.65;162.65;2689163
170.61;174.32;170.61;173.86;5308138
174.39;175.38;172.8;173.66;3176327
172.69;175.085;172.63;174.39;2472536
174.0;176.16;173.11;175.34;2420820
174.98;177.36;174.47;177.3;2133240
176.87;177.25;174.52;175.45;2280851
175.45;175.97;173.93;175.12;1947429
175.53;176.1;174.37;174.68;1939268
173.86;174.71;173.28;174.3;1454256
174.72;175.12;172.86;173.6;1492742
174.89;175.255;173.84;174.26;1202755
174.33;174.33;172.41;173.09;1260360
172.62;173.244;171.72;173.01;1418184
173.34;174.59;173.14;174.21;1221599
173.8;174.09;173.05;174.08;1462086
174.12;174.49;173.07;173.54;1253264
172.12;172.2;169.66;170.95;1432829
172.29;172.89;170.87;170.98;803571
170.94;171.37;170.22;170.84;1051540
172.09;172.4889;170.51;170.74;900285
171.02;171.18;169.58;170.46;1086825
170.41;170.62;169.48;169.7;836046
168.19;170.25;168.0;170.2;924658
171.31;172.4889;170.3;172.08;1848300
171.34;172.45;171.26;171.93;1132658
170.96;174.24;170.51;173.59;1772668
174.69;175.22;172.74;174.4;1499657
174.57;176.35;173.4;174.25;1502716
175.14;176.12;174.24;174.32;992888
174.25;174.325;170.1612;171.53;1955591
172.0;173.4699;171.6;172.38;1457289
172.71;173.71;172.11;173.65;1264954
173.4;175.73;172.855;174.8;1558754
176.85;180.69;176.85;180.02;2451915
179.28;182.7799;178.84;181.31;2012395
178.55;182.4;176.44;181.17;2874179
182.0;185.0;181.23;183.57;2298084
183.0;184.89;182.11;183.69;1560368
184.5;186.53;183.46;186.16;2168098
185.77;185.83;182.98;185.39;1446956
184.89;186.0;182.75;183.82;1262237
184.13;185.34;183.46;185.08;931753
184.71;187.33;183.98;187.29;1334442
187.33;188.25;186.74;188.15;1295338
188.5;188.5;187.55;188.08;1162042
188.75;190.29;188.05;190.12;889156
190.62;191.84;190.6;191.53;653169
190.58;191.15;189.49;190.03;1746550
190.0;191.35;190.0;190.32;1077732
191.5;192.58;190.78;191.67;1533590
192.0;193.88;192.0;192.19;1767563
192.1;193.65;192.1;192.8;1542866
193.7;194.95;193.0;194.5;1409815
194.36;194.46;191.6;193.33;1238329
193.32;196.72;192.28;196.52;1886138
196.75;197.3;193.6;197.07;2951610
196.29;196.99;195.13;196.6;1957386
195.87;198.2399;195.7;197.64;1442740
198.66;201.57;197.5;201.02;2237920
200.775;201.0;197.61;197.92;2533169
197.73;199.77;197.27;197.92;1216364
198.82;199.36;195.4525;196.48;3589621
196.67;198.07;195.75;197.62;1498058
198.92;199.49;196.55;198.74;3068001
194.5;195.97;192.04;192.12;6405992
192.24;192.46;190.78;190.89;2030077
191.48;193.02;190.81;191.86;1677369
191.97;192.53;190.51;190.55;966457
190.83;191.57;188.02;188.45;1555398
188.85;189.64;186.42;186.95;1293105
187.8;187.96;185.6789;186.2;1323201
186.5701;189.67;186.5701;187.7;1708350
188.5;189.395;187.36;188.71;1290348
188.71;190.37;187.95;188.41;1207787
188.11;191.74;187.9;190.25;1658437
189.58;190.53;189.01;189.69;1279154
189.06;189.9;188.35;188.42;1358098
188.25;189.44;188.0;189.24;1045295
188.66;188.87;186.34;187.38;1177894
187.79;188.7;186.68;187.01;1140632
186.12;186.74;184.44;186.05;1343809
186.44;187.98;185.75;187.23;902954
187.27;188.1;185.68;186.17;1061296
186.02;187.0;184.37;185.73;2192856
185.81;186.71;184.3;185.46;1070520
185.51;191.99;185.51;191.61;2138495
191.6;194.02;190.6101;192.95;1807030
192.31;192.94;191.14;192.58;1067550
192.77;196.42;191.8;195.92;1991368
195.48;195.48;191.175;193.25;2304075
190.28;190.48;186.16;189.11;2952325
189.28;189.3;184.71;186.27;2076140
186.12;186.9209;183.87;184.61;1461851
186.09;188.94;185.39;188.21;1356345
190.43;190.75;187.73;188.2;1352466
188.2;188.67;187.19;188.02;1158524
187.75;188.28;186.81;187.96;955647
188.2;190.12;187.83;188.57;1347816
188.78;191.0;188.31;190.86;1188336
191.05;193.15;190.63;192.57;1068266
192.09;193.07;191.33;192.46;945344
192.77;194.79;192.22;194.67;1308709
194.38;194.72;192.16;193.35;1143753
192.8;193.7;192.297;193.7;808101
194.37;195.57;193.76;195.36;1269635
194.42;194.4975;192.61;193.83;2126083
194.0;194.495;190.71;191.18;1806466
190.74;193.11;190.12;193.11;2209925
192.97;194.43;191.77;194.37;1777043
194.47;195.4;192.9127;192.98;1788244
194.89;198.6;194.89;197.42;2212688
196.98;196.99;194.23;194.71;1786420
194.54;195.29;193.96;194.35;822774
194.0;195.43;193.34;193.95;925133
193.85;194.6;192.37;192.91;1217585
193.11;193.84;192.04;192.92;1206802
192.7;192.9;189.9;191.31;1406193
192.45;193.36;190.388;192.15;1226562
191.87;193.24;191.39;193.12;1283013
192.9;193.03;190.975;191.38;1352201
191.95;194.26;191.5;193.26;1412054
193.39;194.0;192.44;193.11;1244011
193.89;196.09;192.38;194.59;2390742
195.05;195.51;192.18;192.27;2189255
193.09;193.86;191.68;191.84;3352327
195.67;197.48;192.5;195.92;6132660
195.0;195.14;189.1;189.19;3489778
189.34;190.31;187.23;188.12;2862327
186.79;187.62;184.3;187.04;2405919
187.0;190.49;187.0;189.89;1675570
189.44;191.66;189.15;190.92;1648270
192.5;194.34;191.68;194.17;1890764
193.95;196.23;193.215;195.15;2175490
195.86;197.2;194.4001;195.36;1796513
195.06;196.58;194.65;196.27;1866668
197.0;199.17;195.5;195.85;1651268
196.0;197.26;195.64;195.99;1410529
195.54;196.88;195.37;195.65;1612006
196.13;197.23;195.23;195.76;1152405
195.05;195.13;192.68;192.99;2393506
193.12;193.23;186.15;186.31;3427396
186.49;186.8;183.71;183.73;2691576
