open,high,low,close,volume
791.98,792.89,786.33,791.4,1303460
795.27,797.1,793.26,796.87,1349896
798.39,810.89,795.43,808.02,1989537
807.93,810.6,803.72,807.99,1145724
805.22,808.42,801.0101,802.84,1177660
798.77,801.75,788.05,788.48,1887633
784.52,800.17,783.5,798.82,1863737
794.01,795.79,784.33,788.72,1809044
787.53,796.33,787.53,790.46,1313912
790.01,803.645,788.66,801.23,1566360
799.02,799.02,793.62,797.97,2130571
801.11,803.99,793.56,795.39,1149522
800.0,802.75,798.26,799.78,1050041
801.26,805.91,796.03,805.03,1348476
810.0,819.06,807.71,815.95,1759290
815.14,817.0,812.73,814.96,1411673
809.82,810.08,800.45,802.65,1472732
801.83,813.49,801.83,810.73,1367271
804.08,810.25,802.7803,810.06,1470280
807.23,813.91,800.855,802.64,1349974
803.6,808.09,801.5,804.06,1660201
802.55,803.54,796.23,800.38,1489212
805.0,806.5,799.67,802.79,1258706
806.0,808.5,800.71,801.23,1213820
804.08,806.945,800.51,803.08,1099909
805.93,805.94,796.82,800.71,1163899
803.93,817.38,802.24,814.17,1496115
814.17,819.86,807.37,809.57,1721575
811.96,814.5,808.5545,811.77,907876
806.07,806.56,798.62,804.08,1368981
807.45,810.09,802.32,804.6,1111934
805.99,813.49,803.83,806.84,1056367
814.21,828.81,813.33,821.49,2289265
824.52,829.81,823.205,827.09,1500142
827.56,828.465,820.55,821.63,1393870
820.0,824.29,818.31,824.06,1615814
830.09,837.94,829.04,835.74,1447616
838.5,838.5,825.3005,828.55,1890712
827.12,827.71,816.35,822.1,1794868
823.01,826.58,814.61,817.35,2973486
829.94,839.0,817.0,819.56,4354884
822.43,822.63,808.0,809.9,2242679
810.87,813.96,798.26,805.48,2355890
806.76,806.76,785.0,788.42,2350736
784.5,790.0,778.63,782.19,2175216
771.3,788.48,771.0043,781.1,1970603
794.95,805.0,792.9,802.03,1992570
802.03,816.04,799.62,811.98,1769069
801.83,811.71,792.035,805.59,3098510
810.0,810.06,768.23,780.29,5909609
776.81,777.29,765.54,771.75,3592641
771.76,771.78,743.59,753.22,3688274
765.47,780.2376,765.22,775.16,2943889
770.42,783.5,766.33,779.98,1798360
782.5,788.9,779.85,786.16,1533679
787.17,791.29,775.35,775.97,1806264
778.1,786.55,776.3,784.8,1630835
788.99,793.77,783.74,785.0,1394174
789.52,789.52,772.65,779.0,1312981
782.61,782.9,778.19,780.23,613549
778.35,799.74,778.1,785.79,2575432
788.38,796.44,785.34,789.44,1561981
789.1,791.51,773.145,775.88,2279054
778.55,778.6,753.36,764.33,2867074
761.9,770.5,759.0,764.46,1718846
770.0,780.0,766.9686,778.22,1688473
780.19,785.28,773.32,776.18,1734099
779.95,792.0,773.53,791.47,2029415
792.95,799.0,787.905,795.17,1612531
799.3,809.95,798.05,809.45,1904463
804.82,811.35,804.5311,807.9,1628602
812.39,824.3,811.94,815.34,2128210
815.92,824.26,812.78,817.89,1799654
817.36,823.0,812.0,815.65,1769719
818.31,819.2,808.12,809.84,2598866
809.28,816.22,804.5,812.5,1263581
813.37,816.49,811.0,815.2,1271883
815.72,815.72,805.1,812.2,1459628
809.1,811.07,806.03,809.68,1132119
808.01,810.9696,805.11,807.8,765537
808.68,816.0,805.8,809.93,975962
813.33,813.33,802.44,804.57,1214756
802.33,805.75,798.144,802.88,1057392
803.21,803.285,789.62,792.45,1735879
800.62,811.435,796.89,808.01,1959033
809.89,813.43,804.11,807.77,1515339
807.5,813.74,805.92,813.02,1340535
814.99,828.96,811.5,825.21,2017097
826.37,830.43,821.62,827.18,1408924
827.07,829.41,823.14,826.01,1197442
826.62,829.9,821.47,829.86,1325394
828.38,830.38,821.01,829.53,1350308
831.0,834.65,829.52,830.94,1290182
830.0,830.18,823.2001,827.46,1440905
829.8,829.81,824.08,829.02,1027698
829.0,832.9999,823.96,824.37,1070454
829.09,829.24,824.6,828.17,1306183
831.61,845.5428,828.7,844.43,2457377
846.98,851.52,842.28,849.53,1688375
853.55,858.7936,849.74,858.45,1662148
859.05,861.0,850.5201,856.98,3493251
859.0,867.0,841.9,845.03,3752497
837.06,837.23,821.03,823.83,3516933
819.5,823.07,813.4,820.19,2020180
824.0,824.0,812.25,815.24,2251047
815.0,824.56,812.051,818.26,1689179
823.13,826.13,819.35,820.13,1528095
820.92,822.39,814.29,821.62,1350875
825.5,831.92,823.2926,829.23,1666605
830.53,834.25,825.11,829.88,1302225
831.73,831.98,826.5,830.06,1194238
832.95,837.15,830.51,834.85,1415128
837.7,841.735,836.246,838.96,1295708
839.77,842.0,835.83,840.03,1363345
838.81,841.7725,836.22,837.32,1357185
838.5,842.69,837.26,842.17,1005084
841.31,846.94,839.78,846.55,1461210
847.99,852.2,846.55,849.27,1261062
848.0,853.79,846.7101,851.36,1224889
851.08,852.62,842.5,851.0,1386681
847.65,848.36,842.9601,847.81,1346189
844.95,850.67,843.01,849.67,1010333
847.35,848.83,841.4422,844.93,1383119
851.38,858.0,849.02,856.75,1818671
856.31,856.49,848.72,849.85,1250938
848.94,850.82,844.705,849.08,1006612
846.86,848.94,841.17,847.27,1047872
847.26,853.33,845.52,851.15,1038696
853.12,856.93,851.25,853.64,1029834
853.69,860.71,852.67,857.84,1347697
862.7,864.229,857.61,861.405,1336585
860.83,867.13,860.82,864.58,1166605
863.75,867.58,860.13,865.91,1061692
867.94,869.88,861.295,868.39,1332885
870.53,872.71,867.52,870.0,1104452
873.68,874.42,868.37,872.37,1868252
869.48,870.34,864.665,867.91,1542199
870.06,873.47,847.687,850.14,2537978
849.48,855.35,847.0,849.8,1366749
841.39,841.69,833.0,839.65,3287669
842.0,844.0,829.1,835.14,2105682
828.09,841.38,824.3,838.51,1935211
839.69,845.4,832.265,840.63,1519202
842.75,851.585,841.38,849.87,1457347
851.98,852.0,846.77,849.48,949398
846.83,849.56,845.2445,847.8,1440982
848.75,859.0,847.5298,856.75,1969402
