open;high;low;close;volume
158.32;159.62;158.1;159.54;2358385
159.88;160.57;159.15;159.55;2315366
159.88;160.86;159.11;160.35;2994056
160.19;161.76;160.0;161.64;2867257
160.55;161.21;158.76;159.0;3963164
158.03;158.4;155.65;155.69;5185972
155.26;158.53;154.84;158.29;4367529
157.63;157.93;155.5;155.81;3636719
155.7;155.87;153.39;154.05;3860553
154.3;156.33;153.21;155.66;3662573
155.04;155.4;153.47;153.84;6463644
154.87;156.19;154.55;154.87;2450117
155.87;156.57;154.45;154.45;2159092
154.91;155.68;153.87;155.53;2473895
156.15;157.22;155.69;156.11;2691115
155.62;156.04;154.71;154.98;2702153
154.46;154.46;153.46;153.98;2533325
154.32;156.77;153.81;156.77;2987195
156.99;158.625;156.23;158.29;3310008
158.63;165.0;157.46;158.11;3374838
158.9;159.838;158.06;158.85;3596878
158.06;158.37;157.02;157.61;2227800
157.67;158.53;155.82;156.46;2884146
157.07;157.83;156.72;157.08;1684458
156.84;157.43;155.89;156.88;1950106
157.14;157.7;154.86;155.67;2671852
156.71;158.49;156.655;157.02;2481288
156.73;156.95;153.89;154.79;2901326
154.97;154.97;153.08;154.29;2963968
153.7;154.22;152.27;153.72;2909948
154.47;155.53;154.09;154.45;4358197
154.45;155.89;154.34;154.77;5890421
150.02;151.0;147.79;150.72;12770570
151.27;152.45;150.83;151.26;4632854
151.28;152.9;151.02;151.52;4023103
150.58;151.15;149.56;149.63;4414206
150.4;151.52;150.4;150.57;2666740
150.69;151.16;149.83;150.88;2647487
150.71;152.94;150.255;151.81;2811728
152.82;154.06;152.02;153.35;4229336
154.05;154.44;152.18;152.61;3654496
152.76;154.33;152.76;153.69;3553172
153.5;153.91;151.74;152.79;3191924
152.48;153.345;151.67;151.95;3074438
152.51;153.74;151.8;152.37;2878803
152.4;153.64;151.87;152.43;2470368
153.99;156.11;153.84;155.72;3804943
154.56;155.93;153.06;155.17;3921944
152.96;155.56;151.0;154.81;5403688
157.66;161.16;157.59;160.22;7715807
159.97;161.34;159.33;161.27;4446630
161.25;161.86;157.58;158.21;5196498
158.42;159.15;157.55;158.67;3476996
158.46;159.55;158.03;159.29;2252806
159.22;159.93;158.85;159.8;2261195
159.8;160.72;159.21;160.39;2981633
160.69;163.0;160.3697;162.77;4637097
