open,high,low,close,volume
43.21,43.41,43.2,43.35,8457766
43.52,43.83,43.47,43.66,9026010
43.74,43.8,43.395,43.79,8600372
43.72,43.8,43.53,43.64,8656580
43.67,43.73,43.45,43.63,10020425
43.43,43.43,42.27,42.27,23624237
42.36,43.23,42.34,43.19,15932296
42.77,42.77,42.21,42.28,12962720
42.27,42.41,41.99,42.11,9823933
42.01,42.39,41.88,42.36,10244620
42.17,42.26,41.965,42.14,16353971
42.16,42.37,42.08,42.1,7659863
42.31,42.53,42.24,42.34,8407163
42.28,42.61,42.1,42.53,13654653
42.71,43.01,42.69,42.96,9288268
42.81,42.94,42.65,42.74,8852719
42.71,42.72,42.01,42.05,15036043
42.19,42.63,42.0,42.59,11920432
42.63,42.76,42.03,42.15,15523783
42.02,42.39,41.85,42.03,12671673
42.21,42.5,42.06,42.32,14375702
42.31,42.31,41.885,42.03,11152793
42.34,42.34,41.78,41.84,13682703
41.93,42.07,41.67,41.81,9607263
41.68,41.94,41.58,41.71,9722878
41.83,41.94,41.565,41.73,8122809
41.92,41.99,41.6,41.73,8983623
41.66,41.7,41.4,41.54,12249060
41.63,41.84,41.5,41.78,12216588
41.65,41.89,41.51,41.76,17655643
41.85,41.905,41.62,41.67,9893840
41.73,41.86,41.57,41.6,10792512
41.81,42.0,41.73,41.97,11297333
41.93,42.115,41.81,42.05,16367383
41.97,42.11,41.89,41.93,10620494
41.85,42.17,41.68,42.13,14401515
42.32,42.77,42.25,42.56,13439196
42.64,42.88,42.43,42.54,16484713
43.0,43.03,42.41,42.44,16886249
42.63,42.645,41.9,42.12,14537030
42.26,42.47,42.1,42.23,13398353
42.12,42.41,42.12,42.4,13327475
42.4,42.425,41.91,42.12,12223368
42.1,42.34,42.01,42.05,12034271
42.22,42.22,41.96,42.03,11257978
41.85,42.04,41.69,41.69,14464185
42.04,42.5,42.04,42.46,14038532
42.37,42.98,42.37,42.88,12036581
41.76,42.32,41.7,42.27,21350962
41.86,42.26,40.855,40.94,33245534
40.95,41.13,40.63,41.03,13420962
41.13,41.42,40.85,41.17,19514172
41.18,41.52,41.17,41.44,16553962
41.4,41.65,41.155,41.26,12681351
41.28,41.3,41.0,41.12,12398821
41.03,41.2,40.9,40.91,16345262
40.74,41.36,40.73,41.36,12307041
41.45,41.7,41.24,41.37,12743512
41.22,41.31,41.03,41.12,9294081
41.39,41.58,41.24,41.53,7402652
41.51,41.79,41.27,41.75,19424412
41.52,41.52,41.14,41.15,11421921
41.0,41.2,40.35,40.35,22410367
40.31,40.39,39.88,40.17,20409864
40.3,40.495,40.19,40.36,11176301
40.34,40.69,40.31,40.62,15977847
40.75,40.77,40.42,40.57,11303492
40.54,41.29,40.51,41.29,13726520
41.07,41.21,40.845,40.98,13077139
41.5,42.22,41.29,42.0,28125775
42.0,42.01,41.72,41.9,17561900
41.72,41.96,41.54,41.76,18985974
41.89,41.99,41.06,41.21,17937857
41.095,41.81,41.095,41.55,14265277
41.61,41.76,41.48,41.74,19675238
41.69,41.8,41.58,41.67,8687338
41.7,41.72,41.44,41.66,10603483
41.6,41.8301,41.52,41.57,9693613
41.57,41.62,41.08,41.55,11894113
41.62,41.69,41.35,41.6,6436556
