open;high;low;close;volume
32.14;32.37;31.44;31.91;11986456
31.96;32.21;31.67;31.89;12288199
31.96;32.22;31.55;31.75;14191389
31.68;31.94;31.58;31.69;10845008
31.7;32.205;31.61;32.04;12696066
31.98;32.27;31.59;31.59;16493884
31.32;32.32;31.14;32.24;13888148
31.69;32.0;31.27;31.46;13954085
31.49;31.805;31.31;31.56;11687598
31.55;32.14;31.5;31.95;10056469
31.67;31.8;31.38;31.59;14756151
31.72;32.1;31.52;31.6;7806455
31.84;32.0;31.65;31.7;8848978
31.84;32.06;31.5;31.92;10073632
32.13;32.44;31.98;32.24;8185280
32.12;32.25;31.67;31.91;9400557
31.53;31.57;30.955;31.03;10217675
30.82;31.49;30.62;31.35;9753462
31.44;31.8;31.32;31.77;7425143
31.77;32.11;30.74;31.04;12529741
31.27;32.32;31.0;32.06;16269726
32.02;32.15;31.465;31.95;10324254
32.07;32.4;31.81;32.04;9525387
32.17;32.725;32.1;32.56;11157666
32.48;32.65;32.2;32.39;11347166
32.34;32.52;31.95;32.31;11406104
32.62;32.71;32.41;32.56;6609180
32.49;32.755;31.95;32.18;6827702
32.18;32.38;31.8794;31.91;6743261
31.49;33.0;30.96;31.73;13893520
32.24;32.79;31.89;32.07;13734116
32.05;32.17;31.61;31.79;10114266
32.25;32.51;32.04;32.32;13091636
32.84;33.0;32.18;32.93;18522741
32.84;33.19;32.575;32.9;10650671
32.6;33.52;32.54;33.44;13910338
33.57;33.68;33.34;33.38;9221301
33.39;33.59;33.2;33.35;7912666
33.15;33.65;33.06;33.59;9112972
33.82;34.005;33.58;33.82;12608435
33.69;34.03;33.17;33.52;10183535
33.71;33.88;33.49;33.57;8687190
33.68;33.83;32.91;33.36;8988743
33.12;33.17;32.73;32.92;8900448
33.07;33.23;32.77;32.81;8172454
32.82;33.21;32.56;32.78;7897846
33.57;34.0;33.57;34.0;11328047
33.81;34.28;33.54;34.1;7370494
34.7;36.91;34.47;36.52;28311033
36.72;38.94;36.72;38.02;38587204
37.37;38.75;37.34;38.49;22845455
38.88;39.88;38.78;39.35;25618994
38.81;40.035;38.405;40.0;18608046
39.01;39.48;38.955;39.19;18234923
39.02;39.97;38.72;39.97;12676901
