open;high;low;close;volume
5.7;5.72;5.63;5.66;6698997
5.71;5.77;5.69;5.76;5520530
5.74;5.77;5.73;5.74;4781140
5.79;5.89;5.79;5.87;8347763
5.83;5.84;5.78;5.83;8230077
5.76;5.77;5.7;5.7;13606169
5.54;5.69;5.53;5.68;18320719
5.63;5.64;5.55;5.6;18870443
5.55;5.585;5.49;5.5;22157654
5.46;5.56;5.45;5.56;15616128
5.43;5.48;5.4;5.47;14984867
5.52;5.55;5.49;5.51;5608365
5.52;5.52;5.47;5.5;5179828
5.53;5.58;5.5;5.58;8012303
5.74;5.75;5.71;5.74;14045066
5.65;5.7;5.64;5.66;7359621
5.61;5.65;5.61;5.62;5833888
5.58;5.72;5.58;5.71;6159134
5.73;5.75;5.68;5.74;5129983
5.75;5.79;5.7;5.72;5827592
5.76;5.83;5.75;5.79;8956896
5.77;5.79;5.75;5.75;5647890
5.78;5.83;5.74;5.78;5806067
5.77;5.77;5.69;5.71;13053176
5.59;5.59;5.52;5.54;18095409
5.41;5.5;5.41;5.49;13812856
5.5;5.56;5.49;5.53;9067722
5.48;5.48;5.365;5.39;13911115
5.15;5.175;5.09;5.09;32049592
4.96;4.96;4.88;4.94;23210817
4.99;5.04;4.95;4.95;8422085
4.96;4.99;4.94;4.97;6319459
5.01;5.04;4.98;5.02;8454966
4.99;4.99;4.95;4.98;5479864
4.97;5.02;4.97;5.0;6489166
4.94;4.95;4.9;4.92;10177126
4.96;4.99;4.95;4.97;5761599
4.93;4.98;4.92;4.97;9113229
5.07;5.2;5.07;5.16;16725644
4.79;4.79;4.71;4.73;36409607
4.57;4.615;4.54;4.56;27200180
4.52;4.53;4.47;4.48;14435652
4.45;4.47;4.4;4.44;21474034
4.43;4.48;4.41;4.44;11712392
4.43;4.45;4.38;4.39;16908978
4.32;4.34;4.3;4.31;12419924
4.48;4.49;4.39;4.44;19614561
4.42;4.45;4.37;4.44;10485107
4.36;4.46;4.35;4.45;11165456
4.48;4.53;4.45;4.49;11349574
4.43;4.45;4.36;4.42;11802611
4.32;4.33;4.28;4.31;12622853
4.07;4.15;4.04;4.14;33821934
4.1;4.16;4.1;4.12;13836599
4.19;4.22;4.14;4.15;10611554
4.2;4.21;4.15;4.16;6631697
4.16;4.18;4.14;4.17;6049499
4.17;4.2;4.16;4.19;7697022
4.15;4.2;4.13;4.19;6471780
4.34;4.36;4.31;4.33;8090037
4.28;4.29;4.24;4.26;8120757
4.27;4.31;4.26;4.29;6298845
4.32;4.33;4.29;4.3;10212947
4.3;4.31;4.25;4.25;7047430
4.23;4.26;4.2;4.23;6893718
4.33;4.51;4.32;4.51;18420977
4.54;4.6;4.51;4.57;18245344
4.62;4.73;4.61;4.7;17711601
4.63;4.65;4.56;4.58;22302188
4.6;4.65;4.58;4.62;12020369
4.61;4.67;4.6;4.63;15823090
4.7;4.79;4.7;4.74;12149088
4.74;4.8;4.7;4.7;15086066
4.71;4.77;4.68;4.72;13169373
4.86;4.93;4.84;4.88;13242339
4.93;4.94;4.87;4.89;13690184
4.88;4.92;4.86;4.9;16273297
4.96;4.99;4.67;4.76;29817601
4.75;4.76;4.705;4.72;9596332
4.84;4.89;4.83;4.88;9611842
4.92;4.93;4.9;4.91;6461768
4.86;4.86;4.78;4.8;7878289
4.84;4.865;4.8;4.83;8880254
