open;high;low;close;volume
86.72;86.84;86.09;86.84;8434729
87.42;87.58;86.9307;87.42;7099643
87.84;88.64;87.66;88.57;9851167
88.65;88.67;87.97;88.24;7470375
88.55;89.37;88.04;89.05;9579545
88.66;88.66;86.8;86.84;12820202
86.78;87.71;86.63;87.29;10889025
86.46;86.47;85.08;85.21;13214321
85.04;85.83;84.265;84.6;13957013
84.67;85.65;84.52;85.08;9251913
84.51;85.05;83.56;84.03;21538409
84.58;84.62;83.81;83.83;7929097
83.73;83.95;82.54;82.54;17521975
82.82;83.62;82.31;83.3;15055917
84.28;84.55;83.38;83.54;10738519
82.68;84.31;82.59;83.45;12667106
83.52;84.5;82.93;83.06;10860320
82.59;83.34;82.29;83.24;9595020
83.46;87.23;83.34;86.9;28117871
86.97;87.2;85.675;86.46;19082873
86.84;87.81;86.65;87.28;15961506
86.94;87.2;86.54;87.05;7111178
87.38;87.5;86.07;86.25;8222033
86.83;87.17;86.7;87.0;8796215
87.25;87.47;86.44;87.04;7718259
86.95;87.4;86.42;86.74;6614908
87.54;88.67;87.51;88.44;10060038
88.08;88.19;87.3;87.74;9309029
87.22;87.72;86.67;87.13;8172591
86.35;86.869;85.43;86.56;9890258
87.19;87.535;86.48;86.54;7991654
86.48;86.79;86.07;86.54;7263061
87.17;87.33;86.38;86.77;5429319
87.19;87.85;86.88;87.17;9373416
86.79;87.5;86.6;87.21;6866873
86.42;86.82;85.6985;86.62;10736170
86.74;87.32;86.07;86.91;8354850
86.67;87.65;86.6;86.72;6835886
86.25;87.45;85.95;87.09;8488064
87.28;87.66;86.8;86.92;9071099
85.28;86.36;84.14;84.78;19072186
83.88;84.4;82.99;83.32;16663771
83.5;83.92;83.27;83.65;13050607
83.3;83.88;82.94;83.45;11226097
83.68;83.88;83.05;83.66;8836546
83.63;84.33;82.76;83.57;13877124
84.49;85.47;84.4004;85.45;13576246
84.73;85.83;84.49;85.31;9735164
84.05;86.71;83.66;86.25;15901269
85.91;87.99;85.66;87.05;14106227
86.53;86.73;84.89;85.67;13812176
85.3;85.65;84.325;85.28;12607502
